# Rescue Logfile. Created by GNU ddrescue version 1.14
# Command line: ddrescue -b 2048 -i 127100M /dev/sdd2 rescue.img rescue.log
# current_pos  current_status
0x1DDBF13000     *
#      pos        size  status
0x468305000  0x0000E000  *
0x468313000  0x00119000  +
0x46842C000  0x00007000  *
0x468433000  0x00083000  +
0x4684B6000  0x0000D000  *
0x4684C3000  0x0364C000  +
0x46BB0F000  0x00004000  *
0x46BB13000  0x00086000  +
0x46BB99000  0x0000A000  *
0x46BBA3000  0x0011E000  +
0x46BCC1000  0x00002000  *
0x46BCC3000  0x00087000  +
0x46BD4A000  0x00009000  *
0x46BD53000  0x00081000  +
0x46BDD4000  0x0000F000  *
0x46BDE3000  0x0007B000  +
0x46BE5E000  0x00005000  *
0x46BE63000  0x00085000  +
0x46BEE8000  0x0000B000  *
0x46BEF3000  0x0007F000  +
0x46BF72000  0x00001000  *
0x46BF73000  0x00088000  +
0x46BFFB000  0x00008000  *
0x46C003000  0x00082000  +
0x46C085000  0x0000E000  *
0x46C093000  0x0011A000  +
0x46C1AD000  0x00006000  *
0x46C1B3000  0x00083000  +
0x46C236000  0x0000D000  *
0x46C243000  0x0007D000  +
0x46C2C0000  0x00003000  *
0x46C2C3000  0x00087000  +
0x46C34A000  0x00009000  *
0x46C353000  0x00081000  +
0x46C3D4000  0x0000F000  *
0x46C3E3000  0x0007B000  +
0x46C45E000  0x00005000  *
0x46C463000  0x00084000  +
0x46C4E7000  0x0000C000  *
0x46C4F3000  0x0007E000  +
0x46C571000  0x00002000  *
0x46C573000  0x00126000  +
0x46C699000  0x0000A000  *
0x46C6A3000  0x0007F000  +
0x46C722000  0x00001000  *
0x46C723000  0x00089000  +
0x46C7AC000  0x00007000  *
0x46C7B3000  0x00083000  +
0x46C836000  0x0000D000  *
0x46C843000  0x0007D000  +
0x46C8C0000  0x00003000  *
0x46C8C3000  0x00087000  +
0x46C94A000  0x00009000  *
0x46C953000  0x00080000  +
0x46C9D3000  0x00010000  *
0x46C9E3000  0x0007A000  +
0x46CA5D000  0x00006000  *
0x46CA63000  0x00122000  +
0x46CB85000  0x0000E000  *
0x46CB93000  0x0007B000  +
0x46CC0E000  0x00005000  *
0x46CC13000  0x00085000  +
0x46CC98000  0x0000B000  *
0x46CCA3000  0x0007F000  +
0x46CD22000  0x00001000  *
0x46CD23000  0x00089000  +
0x46CDAC000  0x00007000  *
0x46CDB3000  0x00083000  +
0x46CE36000  0x0000D000  *
0x46CE43000  0x0007C000  +
0x46CEBF000  0x00004000  *
0x46CEC3000  0x00086000  +
0x46CF49000  0x0000A000  *
0x46CF53000  0x0011E000  +
0x46D071000  0x00002000  *
0x46D073000  0x00087000  +
0x46D0FA000  0x00009000  *
0x46D103000  0x00081000  +
0x46D184000  0x0000F000  *
0x46D193000  0x0007B000  +
0x46D20E000  0x00005000  *
0x46D213000  0x00085000  +
0x46D298000  0x0000B000  *
0x46D2A3000  0x0007F000  +
0x46D322000  0x00001000  *
0x46D323000  0x00088000  +
0x46D3AB000  0x00008000  *
0x46D3B3000  0x00082000  +
0x46D435000  0x0000E000  *
0x46D443000  0x0011A000  +
0x46D55D000  0x00006000  *
0x46D563000  0x00083000  +
0x46D5E6000  0x0000D000  *
0x46D5F3000  0x0007D000  +
0x46D670000  0x00003000  *
0x46D673000  0x00087000  +
0x46D6FA000  0x00009000  *
0x46D703000  0x00081000  +
0x46D784000  0x0000F000  *
0x46D793000  0x0007B000  +
0x46D80E000  0x00005000  *
0x46D813000  0x00084000  +
0x46D897000  0x0000C000  *
0x46D8A3000  0x0007E000  +
0x46D921000  0x00002000  *
0x46D923000  0x00126000  +
0x46DA49000  0x0000A000  *
0x46DA53000  0x0007F000  +
