# Rescue Logfile. Created by GNU ddrescue version 1.14
# Command line: ddrescue -f -n -d /dev/sda /mnt/nas/ddrescue/example.img /mnt/nas/ddrescue/example.log
# current_pos  current_status
0x30E8F7200     ?
#      pos        size  status
0x1DFF8BC00  0x00010000  *
0x1DFF9BC00  0x98860000  +
0x2787FBC00  0x00010000  *
0x27880BC00  0x00000200  -
0x27880BE00  0x00010000  *
0x27881BE00  0x097F0000  +
0x28200BE00  0x00010000  *
0x28201BE00  0x03A50000  +
0x285A6BE00  0x00010000  *
0x285A7BE00  0x01550000  +
0x286FCBE00  0x00010000  *
0x286FDBE00  0x00002200  +
0x286FDE000  0x00000200  -
0x286FDE200  0x0000DE00  *
0x286FEC000  0x00B20000  +
0x287B0C000  0x00010000  *
0x287B1C000  0x00000200  -
0x287B1C200  0x00010000  *
0x287B2C200  0x11B60000  +
0x29968C200  0x00010000  *
0x29969C200  0x00000200  -
0x29969C400  0x00010000  *
0x2996AC400  0x024D0000  +
0x29BB7C400  0x00010000  *
0x29BB8C400  0x00030000  +
0x29BBBC400  0x00010000  *
0x29BBCC400  0x02430000  +
0x29DFFC400  0x00010000  *
0x29E00C400  0x000B0000  +
0x29E0BC400  0x00010000  *
0x29E0CC400  0x00000200  -
0x29E0CC600  0x00010000  *
0x29E0DC600  0x03EE0000  +
0x2A1FBC600  0x00010000  *
0x2A1FCC600  0x07230000  +
0x2A91FC600  0x00010000  *
0x2A920C600  0x00030000  +
0x2A923C600  0x00010000  *
0x2A924C600  0x027D0000  +
0x2ABA1C600  0x00010000  *
0x2ABA2C600  0x00000200  -
0x2ABA2C800  0x00010000  *
0x2ABA3C800  0x004D0000  +
0x2ABF0C800  0x00010000  *
0x2ABF1C800  0x000B0000  +
0x2ABFCC800  0x00010000  *
0x2ABFDC800  0x03960000  +
0x2AF93C800  0x00010000  *
0x2AF94C800  0x00000200  -
0x2AF94CA00  0x00010000  *
0x2AF95CA00  0x01E20000  +
0x2B177CA00  0x00010000  *
0x2B178CA00  0x00000200  -
0x2B178CC00  0x00010000  *
0x2B179CC00  0x00020000  +
0x2B17BCC00  0x00010000  *
0x2B17CCC00  0x00000400  +
0x2B17CD000  0x00000200  -
0x2B17CD200  0x0000FC00  *
0x2B17DCE00  0x00000400  +
0x2B17DD200  0x00000200  -
0x2B17DD400  0x0000FC00  *
0x2B17ED000  0x00000200  -
0x2B17ED200  0x00010000  *
0x2B17FD200  0x00000200  -
0x2B17FD400  0x00020000  *
0x2B181D400  0x00001000  +
0x2B181E400  0x00000200  -
0x2B181E600  0x0003F000  *
0x2B185D600  0x00000400  +
0x2B185DA00  0x00000200  -
0x2B185DC00  0x0007DC00  *
0x2B18DB800  0x03EEB800  +
0x2B57C7000  0x00010000  *
0x2B57D7000  0x025F0000  +
0x2B7DC7000  0x00010000  *
0x2B7DD7000  0x01470000  +
0x2B9247000  0x00010000  *
0x2B9257000  0x01040000  +
0x2BA297000  0x00010000  *
0x2BA2A7000  0x00000200  -
0x2BA2A7200  0x00010000  *
0x2BA2B7200  0x54650000  +
0x30E907200  0xF855FAE00  ?
0x1293F02000  0x10090000  +
