# Rescue Logfile. Created by GNU ddrescue version 1.14
# Command line: ddrescue --direct -i 6291519b -s 8b --try-again --retrim /dev/sda ./rescue.img ./rescue.log
# current_pos  current_status
0xC0008A00     +
#      pos        size  status
0xBDDDBE00  0x00001000  +
0xBDDDCE00  0x00000200  -
0xBDDDD000  0x00013E00  +
0xBDDF0E00  0x00000400  -
0xBDDF1200  0x00001C00  +
0xBDDF2E00  0x00000200  -
0xBDDF3000  0x00000E00  +
0xBDDF3E00  0x00006000  -
0xBDDF9E00  0x00004000  +
0xBDDFDE00  0x00000200  -
0xBDDFE000  0x00001E00  +
0xBDDFFE00  0x00000600  -
0xBDE00400  0x00001A00  +
0xBDE01E00  0x00047000  -
0xBDE48E00  0x00000200  +
0xBDE49000  0x00000200  -
0xBDE49200  0x00000200  +
0xBDE49400  0x00000200  -
0xBDE49600  0x00000800  +
0xBDE49E00  0x00000200  -
0xBDE4A000  0x00003E00  +
0xBDE4DE00  0x00012A00  -
0xBDE60800  0x00004600  +
0xBDE64E00  0x00000400  -
0xBDE65200  0x00000400  +
0xBDE65600  0x00000200  -
0xBDE65800  0x00000200  +
0xBDE65A00  0x00000200  -
0xBDE65C00  0x00002200  +
0xBDE67E00  0x00000800  -
0xBDE68600  0x00000800  +
0xBDE68E00  0x00000200  -
0xBDE69000  0x00000400  +
0xBDE69400  0x00000E00  -
0xBDE6A200  0x00000200  +
0xBDE6A400  0x00000400  -
0xBDE6A800  0x00000200  +
0xBDE6AA00  0x00000600  -
0xBDE6B000  0x00000200  +
0xBDE6B200  0x00000200  -
0xBDE6B400  0x00000A00  +
0xBDE6BE00  0x00003800  -
0xBDE6F600  0x00009800  +
0xBDE78E00  0x00000600  -
0xBDE79400  0x00000C00  +
0xBDE7A000  0x00000200  -
0xBDE7A200  0x00000600  +
0xBDE7A800  0x00000200  -
0xBDE7AA00  0x00001000  +
0xBDE7BA00  0x00000600  -
0xBDE7C000  0x00000400  +
0xBDE7C400  0x00000400  -
0xBDE7C800  0x00000400  +
0xBDE7CC00  0x00000400  -
0xBDE7D000  0x00000400  +
0xBDE7D400  0x00000400  -
0xBDE7D800  0x00000200  +
0xBDE7DA00  0x00000600  -
0xBDE7E000  0x00000600  +
0xBDE7E600  0x00005A00  -
0xBDE84000  0x00000200  +
0xBDE84200  0x00000600  -
0xBDE84800  0x00000200  +
0xBDE84A00  0x00001200  -
0xBDE85C00  0x00000200  +
